source_id,cohort,sde,period,depth,flat_bottom,asymmetry,depth_cv,se_snr,verdict,ra_deg,dec_deg,known_planet,known_toi,simbad_otype,identity,offset_pix,offset_arcsec,centroid_status,centroid_verdict,n_sectors,n_detected,ms_verdict
2628360590325729920,2,19.0612004427122,0.5,0.0249169003521465,0.4444444444444444,0.2215186526934984,0.32922820556351,8.223164229520982,RESIDUAL,336.98166591538404,-3.114108259608249,False,False,*,unknown,0.1167137876455456,2.450989540556459,ok,on_target,2,2,recurs
637751829698267648,2,17.888199468449542,0.52,0.0012481144005649,0.1333333333333333,0.1627470668084709,0.8343542835642714,6.607805659670902,RESIDUAL,140.9882258491193,21.680580267684032,False,False,Em*,unknown,0.885502933529016,18.59556160410933,ok,on_target,7,5,recurs
2186607230958649600,2,16.76308784005099,0.5800000000000001,0.0139845597751587,0.2727272727272727,0.2848166178975052,0.2562072490185842,4.072743391930619,RESIDUAL,307.4360547109529,55.34436389336793,False,False,X,unknown,0.0715301167190536,1.5021324511001273,ok,on_target,4,2,recurs
1311450538505896960,1,15.68451656049904,1.3400000000000007,0.00366253411117,0.4285714285714285,0.2600059772705844,1.4270064016867088,8.852344721880664,RESIDUAL,251.0281114031072,30.00814257628084,False,False,*,unknown,0.7476253331936045,15.700131997065691,ok,on_target,5,1,single_sector_artifact
4275193889350151680,0,14.99083598969566,6.760000000000005,0.0003520730136121,0.25,0.6326962483656581,,1.9825303301918489,RESIDUAL,272.3847063856937,-0.3271873352824768,False,False,PM*,unknown,0.9273856672870576,19.475099013028213,ok,on_target,1,1,single_sector_only
2425329622159382912,2,14.373186093203902,1.9000000000000008,0.0548111503752738,0.6,0.5317753524422746,0.4859951769784325,105.0750593418736,RESIDUAL,9.135594355093705,-11.360448900305148,False,False,*,unknown,0.1294574677044411,2.718606821793263,ok,on_target,2,1,single_sector_artifact
1129490881755217152,2,14.347243501284678,0.8800000000000003,0.0298116432218492,0.2727272727272727,0.0361533784806448,0.6538777406025742,179.35889899237446,RESIDUAL,164.04850342229088,78.09327271622175,False,False,PM*,unknown,0.4943435106738391,10.38121372415062,ok,on_target,10,2,recurs
5536018299705383296,2,13.73236049026293,0.6000000000000001,0.0181413096584659,0.4210526315789473,0.2875325627544647,0.222502530912006,2.4525351439326992,RESIDUAL,116.72612846632786,-40.816023549471886,False,False,,unknown,0.428989568705929,9.00878094282451,ok,on_target,4,1,single_sector_artifact
1868370289135918080,2,13.24159338918862,1.1800000000000006,0.0022268127662474,0.1875,0.3135164186319913,0.3693384768124489,6.691180575650661,RESIDUAL,316.26743918801367,36.34632106188749,False,False,*,unknown,0.7842641112222823,16.46954633566793,ok,on_target,5,3,recurs
962511658619139584,1,13.20441138367907,0.8000000000000003,0.0006053995959719,0.15625,0.165682938715915,1.1461563269912562,11.02578260414868,RESIDUAL,94.1955726399822,45.26727101086492,False,False,Em*,unknown,0.5859545547685184,12.305045650138888,ok,on_target,3,3,recurs
